年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,6,1,9,47,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,22,,B03,120.649362,24.214602,3
2022,6,1,9,49,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,,,,,B03,,,1,,2,,,42,42,1,22,,B03,120.665929,24.15426,3
2022,6,1,9,53,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,12,7,3,10,1,1,B03,7,8,1,8,2,5,,7,7,1,5,8,B03,120.666956,24.115804,2
2022,6,1,10,5,臺中市,北屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,12,26,2,9,3,4,C03,7,9,1,9,2,14,,26,26,1,21,8,C03,120.721708,24.18182,2
2022,6,1,10,5,臺中市,梧棲區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,16,16,1,11,,B03,120.52829,24.261867,3
2022,6,1,10,13,臺中市,北區,0,0,0,8,,,40,,,,,,,,,,,,,,,12,,,,,B12,,,1,,11,,,12,12,2,5,,B12,120.669586,24.156453,3
2022,6,1,10,19,臺中市,豐原區,0,2,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,17,9,2,9,1,1,C03,7,6,1,10,2,12,,9,9,1,22,8,C03,120.723504,24.252139,2
2022,6,1,10,30,臺中市,大雅區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,12,23,2,8,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.65108,24.22342,2
2022,6,1,10,33,臺中市,潭子區,0,0,0,,,,60,,,,,,,,,,,,,,,12,,,,,B12,,,1,,2,,,12,12,1,22,,B12,120.687476,24.214556,3
2022,6,1,10,40,臺中市,沙鹿區,0,2,0,8,1,5,60,14,7,1,5,4,5,7,4,4,1,4,1,1,12,42,2,9,1,1,B01,7,7,1,3,2,5,,42,42,1,10,8,B01,120.57992,24.219356,2
2022,6,1,10,42,臺中市,西區,0,0,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,,,,,B12,,,1,,2,,,6,6,1,22,,B12,120.655134,24.152924,3
2022,6,1,10,50,臺中市,南屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,12,7,2,8,1,1,C03,7,10,1,10,2,12,,7,7,1,22,9,C03,120.643888,24.146666,2
2022,6,1,10,50,臺中市,西屯區,0,2,0,8,1,5,40,14,7,1,5,4,5,7,4,4,5,5,4,2,16,19,2,9,1,1,C03,7,1,1,10,2,14,,19,19,1,4,7,C03,120.656577,24.168949,2
2022,6,1,10,52,臺中市,豐原區,0,3,0,8,1,5,50,4,2,1,5,4,5,7,1,1,3,3,3,1,17,16,2,8,3,4,C03,7,9,1,10,2,11,,16,16,1,22,8,C03,120.742486,24.263877,2
2022,6,1,10,54,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,,,,,,,,,43,43,1,,,,120.67584,24.158823,3
2022,6,1,10,59,臺中市,豐原區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,44,3,10,1,1,B03,7,9,1,8,2,2,,44,44,1,22,8,B03,120.723969,24.245023,2
2022,6,1,11,3,臺中市,大雅區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,3,4,4,1,13,23,2,9,1,1,C03,7,9,1,10,8,12,,23,23,1,22,8,C03,120.63046,24.235958,2
2022,6,1,11,7,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,,,,,C03,,,1,,2,,,19,19,1,21,,C03,120.70596,24.243753,3
2022,6,1,11,10,臺中市,新社區,0,0,0,8,,,25,,,,,,,,,,,,,,,42,,,,,,,,,,,,,42,42,1,,,,120.806088,24.237506,3
2022,6,1,11,14,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,B12,,,1,,2,,,26,26,1,21,,B12,120.69049,24.1889,3
2022,6,1,11,15,臺中市,大甲區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,B12,7,9,1,8,2,2,,6,6,1,22,9,B12,120.653837,24.402147,2
2022,6,1,11,18,臺中市,豐原區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,4,4,8,3,4,1,16,17,3,10,1,5,C03,7,13,1,8,9,4,,17,17,2,5,9,C03,120.72646,24.246972,3
2022,6,1,11,25,臺中市,北區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B03,,,1,,11,,,23,23,1,5,,B03,120.686594,24.162745,3
2022,6,1,11,26,臺中市,北屯區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,4,,6,6,1,5,8,B03,120.697375,24.167018,2
2022,6,1,11,31,臺中市,龍井區,0,3,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,19,8,C03,120.522943,24.200286,2
2022,6,1,11,32,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,23,1,22,,B03,120.688663,24.239593,3
2022,6,1,11,34,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,A12,,,1,,11,,,26,26,1,5,,A12,120.67192,24.171681,3
2022,6,1,11,45,臺中市,北區,0,1,0,8,1,5,50,14,8,1,5,4,3,7,4,4,3,4,4,2,17,7,3,10,1,1,A02,7,8,1,2,2,15,,7,7,1,10,4,A02,120.67392,24.164346,2
2022,6,1,11,45,臺中市,豐原區,0,1,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,3,5,1,17,4,3,10,3,4,C03,7,5,1,10,2,12,,4,4,1,22,8,C03,120.717583,24.251022,2
2022,6,1,12,1,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,B12,,,1,,1,,,26,26,1,21,,B12,120.664164,24.140038,3
2022,6,1,12,5,臺中市,南屯區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,2,1,10,5,5,2,16,26,2,9,1,1,C03,7,5,1,10,2,13,,26,26,1,22,9,C03,120.628055,24.140833,2
2022,6,1,12,10,臺中市,大甲區,0,3,0,8,1,5,70,3,2,1,5,4,5,7,1,1,1,4,4,1,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.651849,24.383704,2
2022,6,1,12,16,臺中市,大雅區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,8,,6,6,1,22,8,B03,120.67052,24.225665,2
2022,6,1,12,19,臺中市,北區,0,0,0,,,,40,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,5,,B03,120.673111,24.168016,3
2022,6,1,12,20,臺中市,東區,0,0,0,8,,,40,,,,,,,,,,,,,,,19,,,,,B03,,,1,,2,,,19,19,1,22,,B03,120.690886,24.129722,3
2022,6,1,12,22,臺中市,烏日區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,4,,B03,120.64085,24.103311,3
2022,6,1,12,30,臺中市,東區,0,2,0,7,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,7,2,9,1,1,C03,7,8,1,10,2,12,,7,7,1,5,8,C03,120.699133,24.138787,2
2022,6,1,12,33,臺中市,南屯區,0,0,0,,,,50,,,,,,,,,,,,,,,12,,,,,B12,,,1,,1,,,12,12,1,22,,B12,120.641433,24.13513,3
2022,6,1,12,42,臺中市,沙鹿區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,9,1,10,2,12,,6,6,1,22,9,C03,120.568691,24.230546,2
2022,6,1,12,47,臺中市,大雅區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,9,4,5,1,17,6,3,10,1,1,B12,7,6,1,8,2,6,,6,6,1,22,9,B12,120.656432,24.220792,2
2022,6,1,12,52,臺中市,北區,0,1,0,6,1,5,40,14,8,1,4,4,5,7,4,4,1,4,4,2,17,40,3,10,3,1,B03,7,15,1,8,1,4,,40,40,1,5,8,B03,120.694207,24.154664,2
2022,6,1,12,54,臺中市,潭子區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B02,,,1,,2,,,23,23,1,22,,B02,120.711122,24.227999,3
2022,6,1,13,1,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,12,1,21,,B03,120.706418,24.182633,3
2022,6,1,13,20,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,12,26,3,10,1,1,B03,7,6,1,8,2,2,,26,26,1,5,8,B03,120.719014,24.163033,2
2022,6,1,13,30,臺中市,西區,0,2,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,10,1,C03,120.65822,24.15587,2
2022,6,1,13,30,臺中市,北區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,11,19,3,10,3,4,B03,7,1,1,8,2,1,,19,19,1,5,8,B03,120.669229,24.165599,2
2022,6,1,13,44,臺中市,烏日區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,9,4,4,2,11,17,3,10,1,1,B12,7,9,1,8,2,4,,17,17,1,5,8,B12,120.64779,24.096731,2
2022,6,1,13,45,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,6,1,10,2,11,,6,6,1,21,8,C03,120.680883,24.17388,2
